name,type,diameter_mm,length_mm,din,gost,strength_class,thread,coating,unit_erp,weight_g_per_piece,weight_source,price_supplier,unit_supplier,price_per_piece_rub,price_note,raw
Болт M4x50 DIN 933 ГОСТ 7798-70,Болт,4.0,50.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,2.69,справочник ГОСТ,420.5,кг,1.131145,расчёт: 420.5 руб/кг ÷ 371.7 шт/кг,"Болт  4х 50 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M6x14 DIN 931 ГОСТ 7798-70,Болт,6.0,14.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,2.29,справочник ГОСТ,335.21,кг,0.767631,расчёт: 335.21 руб/кг ÷ 436.7 шт/кг,"Болт  6х 14 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
Болт M6x20 DIN 933 ГОСТ 7798-70,Болт,6.0,20.0,DIN 933,ГОСТ 7798-70,12.9,полная,без покрытия,шт,3.14,справочник ГОСТ,445.77,кг,1.399718,расчёт: 445.77 руб/кг ÷ 318.5 шт/кг,"Болт  6х 20 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.12.9 резьба полная, Кг"
Болт M6x25 DIN 933 ГОСТ 7798-70,Болт,6.0,25.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,3.85,справочник ГОСТ,290,кг,1.1165,расчёт: 290 руб/кг ÷ 259.7 шт/кг,"Болт  6х 25 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M6x40 DIN 931 ГОСТ 7798-70,Болт,6.0,40.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,5.98,справочник ГОСТ,255.93,кг,1.530461,расчёт: 255.93 руб/кг ÷ 167.2 шт/кг,"Болт  6х 40 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M6x40 DIN 933 ГОСТ 7798-70,Болт,6.0,40.0,DIN 933,ГОСТ 7798-70,10.9,полная,без покрытия,шт,5.98,справочник ГОСТ,290,кг,1.7342,расчёт: 290 руб/кг ÷ 167.2 шт/кг,"Болт  6х 40 без покрытия DIN 933 ГОСТ 7798-70 кл.пр.10.9 резьба полная, Кг"
Болт M6x60 DIN 931 ГОСТ 7798-70,Болт,6.0,60.0,DIN 931,ГОСТ 7798-70,8.8,неполная,без покрытия,шт,8.82,справочник ГОСТ,514.8,кг,4.540536,расчёт: 514.8 руб/кг ÷ 113.4 шт/кг,"Болт  6х 60 без покрытия DIN 931 ГОСТ 7798-70 кл.пр.8.8 резьба неполная, Кг"
Болт M6x60 DIN 933 ГОСТ 7798-70,Болт,6.0,60.0,DIN 933,ГОСТ 7798-70,5.8,полная,без покрытия,шт,8.82,справочник ГОСТ,247,кг,2.17854,расчёт: 247 руб/кг ÷ 113.4 шт/кг,"Болт  6х 60 без покрытия DIN 933 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M6x70 DIN 931 ГОСТ 7798-70,Болт,6.0,70.0,DIN 931,ГОСТ 7798-70,5.8,полная,без покрытия,шт,10.24,справочник ГОСТ,157,кг,1.60768,расчёт: 157 руб/кг ÷ 97.7 шт/кг,"Болт  6х 70 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба полная, Кг"
Болт M6x90 DIN 931 ГОСТ 7798-70,Болт,6.0,90.0,DIN 931,ГОСТ 7798-70,5.8,неполная,без покрытия,шт,13.08,справочник ГОСТ,260.61,кг,3.408779,расчёт: 260.61 руб/кг ÷ 76.5 шт/кг,"Болт  6х 90 без покрытия DIN 931 ГОСТ 7798-70 КЛ.ПР.5.8 резьба неполная, Кг"
